Target;Galaxy;HV;Diam;rho;EWLya;LyaVel;Lya;EWOVIa;OVIaVel;OVIa
PKS0558-504    ;NGC2104                   ;1181; 9.1; 626.0;    ;    ;     ;    ;    ;CII
3C263          ;NGC3682                   ;1543;11.8; 626.0;    ;    ;     ;    ;    ;CII*
PG1351+640     ;UGCA374                   ;2133; 8.6; 631.0;    ;    ;UL   ;    ;    ;OI
3C351.0        ;SDSSJ170112.68+601500.0   ;3788; 6.8; 632.0;    ;    ;UL   ;    ;    ;Lylim
PKS2155-304    ;ESO466-G29                ;2772;15.8; 633.0;    ;    ;UL   ;    ;    ;UL
3C263          ;UGC6448                   ; 991; 5.1; 634.0;    ;    ;     ;    ;    ;UL
PG1444+407     ;UGC9502                   ;5672;27.9; 637.0; 103;5638;Lya  ;    ;    ;UL
RXJ1830.3+7312 ;NGC6643                   ;1489;26.4; 638.0;    ;    ;UL   ;    ;    ;H2
PG1149-110     ;LCRSB115151.0-113904      ;3009;20.4; 640.0;    ;    ;UL   ;    ;    ;
3C249.1        ;UGC5814                   ;1881;13.3; 641.0;    ;    ;Lya  ;    ;    ;H2
PG1149-110     ;LCSBS1630P                ;1971;11.2; 642.0;    ;    ;UL   ;    ;    ;
PG1216+069     ;NGC4246                   ;3725;40.1; 644.0;    ;    ;Lya  ;    ;    ;UL
Mrk478         ;NGC5727                   ;1491;16.1; 645.0; 254;1573;Lya  ;    ;    ;UL
PKS2155-304    ;2dFGRSS407Z162            ;2832; 6.5; 648.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;MCG-2-33-95               ;2753;17.4; 657.0;    ;    ;UL   ;    ;    ;UL
PG1302-102     ;MCG-2-33-75               ;1247; 6.8; 658.0;    ;    ;UL   ;    ;    ;CII
3C232          ;UGC5340                   ; 503; 8.3; 660.0;    ;    ;Lya  ;    ;    ;
ESO141-G55     ;IC4843                    ;3975;24.2; 662.0;    ;    ;UL   ;    ;    ;UL
Mrk279         ;UGC8737                   ;1873;19.0; 664.0;    ;    ;UL   ;    ;    ;UL
ESO185-IG13    ;2MASXJ194221.91-550627.5  ;2998; 8.4; 672.0;    ;    ;     ;    ;    ;UL
Mrk335         ;UGC44                     ;5936;21.5; 675.0;    ;    ;UL   ;    ;    ;UL
1H0717+714     ;UGC3909                   ; 945;11.3; 677.0;    ;    ;     ;    ;    ;UL
PG1011-040     ;LCRSB101019.9-032413      ;3395; 9.8; 680.0;    ;    ;     ;    ;    ;UL
PG1216+069     ;IC3136                    ;5594;28.8; 684.0;    ;    ;UL   ;    ;    ;UL
PG1049-005     ;UGC6011                   ;5547;33.5; 685.0;    ;    ;UL   ;    ;    ;
PG1001+291     ;UGC5478                   ;1378;11.2; 686.0;    ;    ;UL   ;    ;    ;H2
PG1216+069     ;NGC4257                   ;2756;16.0; 689.0;    ;    ;UL   ;    ;    ;UL
PG1049-005     ;UGC5943                   ;4544;22.4; 689.0;    ;    ;UL   ;    ;    ;
