status,FinalName,NewTARGETLISTname,PreviousTARGETLISTname,NEDname,Obslog name,Alternative names
OK,MCG-02-16-004,MCG-02-16-004,MCG-02-16-004,MCG-02-16-004,MCG-02-16-004,"['IRAS06103-1414', 'IRAS_F06103-1414']"
OK,MRC2251-178,MRC2251-178,MRC2251-178,RBS1913,MR2251-178,"['1H2251-179', 'IRAS_F22514-1750', 'RBS1913']"
OK,MRK1014,MRK1014,MRK1014,MRK1014,QSO-B0157+001,"['FBS0157+001', 'IRAS01572+0009', 'IRAS_F01572+0009', 'KUG0157+001', 'PG0157+001', 'PG0157+002', 'RBS264', 'RX_J0159.8+0023', 'SDSSJ015950.23+002340.9', 'UM385']"
OK,MRK1044,MRK1044,MRK1044,MRK1044,"MARK1044,MRK-1044","['HE0227-0913', 'IRAS_F02276-0913', 'KUG0227-092', 'MCG-02-07-024', 'RBS323', 'RX_J0230.0-0859', 'RX_J0230.1-0859', 'SDSSJ023005.52-085953.2']"
OK,MRK106,MRK106,MRK106,MRK106,"MK106,MRK106","['IRASZ09162+5534', 'RBS766', 'RX_J0919.9+5521', 'SBS0916+555', 'SDSSJ091955.33+552137.0']"
OK,MRK116,MRK116,MRK116,MRK116,"IZW18,IZW18-NWHIIR,IZW18-OBJECT-1,IZW18-SEHIIR,UGCA-166","['HS0930+5527', 'IZw18', 'KUG0930+554', 'SBS0930+554']"
new,MRK1253,MRK1253,MRK1253,MRK1253,MRK-1253,"['CGCG008-093NED02', 'CGCG009-001NED02', 'CGCG1016.9-0305NED02', 'HE1017-0305', 'RBS854', 'RX_J1019.5-0320']"
OK,MRK1298,MRK1298,MRK1298,MRK1298,"PG1126-041,QSO-B1126-041","['HE1126-0407', 'IRASZ11267-0407', 'PG1126-041']"
OK,MRK1383,MRK1383,MRK1383,MRK1383,"MARK1383,MRK1383","['1H1427+013', 'HE1426+0130', 'IRAS_F14265+0130', 'MS1426.5+0130', 'PG1426+015', 'RBS1401', 'RX_J1429.1+0117', 'SDSSJ142906.57+011706.0']"
new,MRK1392,MRK1392,MRK1392,MRK1392,"MRK1392,SDSSJ150556.55+0","['CGCG048-115', 'CGCG1503.5+0354', 'IRAS_F15034+0353', 'KUG1503+039', 'SDSSJ150556.55+034226.3']"
OK,MRK1486,MRK1486,MRK1486,MRK1486,MRK1486,"['IRASZ13581+5740', 'SBS1358+576', 'SDSSJ135950.91+572622.9']"
OK,MRK1501,MRK1501,MRK1501,MRK1501,"IIIZW2,QSO-B0007+107","['1H0014+111', 'CGRaBSJ0010+1058', 'H0008+105', 'IIIZw002A', 'IIIZw002NOTES01', 'MRK9007', 'PG0007+106', 'PG0007+107', 'PKSB0007+106', 'PKSJ0010+1058', 'RBS19', 'RX_J0010.5+1058']"
OK,MRK1502,MRK1502,MRK1502,MRK1502,"I-ZW1,IZW1,IZWI,QSO-B0050+124","['IRAS00509+1225', 'IRAS_F00509+1225', 'IZw1', 'MRK9009', 'PG0050+124', 'PHL3072', 'RBS129', 'RX_J0053.5+1241']"
OK,MRK1513,MRK1513,MRK1513,MRK1513,"IIZW136,MRK1513,QSO2130+099-NUCL","['IIZw136', 'IRAS21299+0954', 'IRAS_F21299+0954', 'MRK9001', 'PG2130+099', 'RX_J2132.4+1008', 'SDSSJ213227.81+100819.1']"
OK,MRK205,MRK205,MRK205,MRK205,"1219+7535,1219+755,MARK205,MRK205","['1H1211+762', 'MS1219.6+7535', 'RBS1101', 'RX_J1221.7+7518']"
OK,MRK231,MRK231,MRK231,MRK231,"MARK231,MRK-231,MRK231,QSO-B1254+571","['CGCG1254.0+5709', 'CGCG293-045', 'CGCG294-004', 'IRAS12540+5708', 'IRAS_F12540+5708', 'MCG+10-19-004', 'SBS1254+571', 'SDSSJ125614.23+565225.3', 'UGC8058']"
OK,MRK259,MRK259,MRK259,MRK259,KISSR1578,"['HS1326+4411', 'IRAS13265+4411', 'IRAS_F13265+4411', 'KISSR1578', 'PG1326+441', 'PG1326+442', 'SDSSJ132844.05+435550.5']"
OK,MRK272,MRK272,MRK272,MRK272,KISSR1637,"['KISSR1637', 'SDSSJ134200.09+424536.0']"
